Marca,Modelo,Cilindrada,Año,NOMBRE COMPLETO
BAIC,PLUS,"1,2CC",,"BAIC PLUS 1,2CC "
BAIC,PLUS,"1,3CC",,"BAIC PLUS 1,3CC "
BAIC,X25,"1,5CC",HASTA 2021,"BAIC X25 1,5CC HASTA 2021"
BAIC,X25,"1,5CC",DESDE 2021,"BAIC X25 1,5CC DESDE 2021"
BAIC,X35,"1,5CC",,"BAIC X35 1,5CC "
BAIC,NEW X35,"1,5CC",2021 - 2022,"BAIC NEW X35 1,5CC 2021 - 2022"
BRILLANCE,FRV,,,BRILLANCE FRV  
BRILLANCE,FSV,,,BRILLANCE FSV  
BRILLANCE,H220,"1,5CC",,"BRILLANCE H220 1,5CC "
BRILLANCE,H230,"1,5CC",,"BRILLANCE H230 1,5CC "
BRILLANCE,KONECT TURBO,"1,5CC",,"BRILLANCE KONECT TURBO 1,5CC "
BRILLANCE,KONECT,"1,6CC",,"BRILLANCE KONECT 1,6CC "
BRILLANCE,SPLENDOR,"1,8CC",,"BRILLANCE SPLENDOR 1,8CC "
BRILLANCE,T30 / T32,"1,5CC",,"BRILLANCE T30 / T32 1,5CC "
BRILLANCE,V3,"1,5CC",2016 - 2019,"BRILLANCE V3 1,5CC 2016 - 2019"
BRILLANCE,V5,,,BRILLANCE V5  
BRILLANCE,X30,"1,5CC",,"BRILLANCE X30 1,5CC "
BYD,F0,"1,0CC",,"BYD F0 1,0CC "
BYD,F3,"1,5CC",,"BYD F3 1,5CC "
BYD,NEW F3,,,BYD NEW F3  
BYD,F3R,"1,5CC",,"BYD F3R 1,5CC "
BYD,G3,,,BYD G3  
BYD,S6,"2,4CC",,"BYD S6 2,4CC "
BYD,S6,"2,0CC",,"BYD S6 2,0CC "
CHANGAN,ALSVIN AUT,"1,5CC",,"CHANGAN ALSVIN AUT 1,5CC "
CHANGAN,ALSVIN,"1,4CC",,"CHANGAN ALSVIN 1,4CC "
CHANGAN,BENNI,,,CHANGAN BENNI  
CHANGAN,CM10,"1,3CC",,"CHANGAN CM10 1,3CC "
CHANGAN,CM5,"1,0CC",,"CHANGAN CM5 1,0CC "
CHANGAN,CM5,"1,3CC",,"CHANGAN CM5 1,3CC "
CHANGAN,CS1,"1,3CC",,"CHANGAN CS1 1,3CC "
CHANGAN,CS1 CROSS,"1,4CC",,"CHANGAN CS1 CROSS 1,4CC "
CHANGAN,CS15 VVT,"1,5CC",,"CHANGAN CS15 VVT 1,5CC "
CHANGAN,NEW CS15,"1,5CC",,"CHANGAN NEW CS15 1,5CC "
CHANGAN,CS35,"1,6CC",,"CHANGAN CS35 1,6CC "
CHANGAN,NEW CS35,"1,6CC",,"CHANGAN NEW CS35 1,6CC "
CHANGAN,CS35 PLUS,"1,6CC",,"CHANGAN CS35 PLUS 1,6CC "
CHANGAN,NEW CS35 PLUS AUT,"1,4CC",,"CHANGAN NEW CS35 PLUS AUT 1,4CC "
CHANGAN,CS55 TURBO,"1,5CC",,"CHANGAN CS55 TURBO 1,5CC "
CHANGAN,CS75,"1,8CC",,"CHANGAN CS75 1,8CC "
CHANGAN,CS75 VVT,"2,0CC",,"CHANGAN CS75 VVT 2,0CC "
CHANGAN,CV1,"1,0CC",,"CHANGAN CV1 1,0CC "
CHANGAN,CV2,,,CHANGAN CV2  
CHANGAN,CX70 TURBO,"1,5CC",,"CHANGAN CX70 TURBO 1,5CC "
CHANGAN,CX70 VVT,"1,6CC",,"CHANGAN CX70 VVT 1,6CC "
CHANGAN,EADO,"1,6CC",,"CHANGAN EADO 1,6CC "
CHANGAN,HUNTER,"1,9CC",,"CHANGAN HUNTER 1,9CC "
CHANGAN,M201,"1,5CC",,"CHANGAN M201 1,5CC "
CHANGAN,MD201,"1,2CC",,"CHANGAN MD201 1,2CC "
CHANGAN,MS201,"1,2CC",,"CHANGAN MS201 1,2CC "
CHANGAN,MD301,"1,6CC",,"CHANGAN MD301 1,6CC "
CHANGAN,MS301,"1,6CC",,"CHANGAN MS301 1,6CC "
CHANGAN,NEW S100,,,CHANGAN NEW S100  
CHANGAN,NEW S200,,,CHANGAN NEW S200  
CHANGAN,NEW S300,,,CHANGAN NEW S300  
CHANGAN,S100,,,CHANGAN S100  
CHANGAN,S200,,,CHANGAN S200  
CHANGAN,S300,,,CHANGAN S300  
CHERY,A516,,,CHERY A516  
CHERY,ARRIZO 3,"1,5CC",2016 - 2017,"CHERY ARRIZO 3 1,5CC 2016 - 2017"
CHERY,ARRIZO 3,"1,5CC",2018 - 2021,"CHERY ARRIZO 3 1,5CC 2018 - 2021"
CHERY,ARRIZO 5,"1,5CC",,"CHERY ARRIZO 5 1,5CC "
CHERY,BEAT,,,CHERY BEAT  
CHERY,DESTINY,"2,0CC",,"CHERY DESTINY 2,0CC "
CHERY,FACE,"1,3CC",,"CHERY FACE 1,3CC "
CHERY,FULWIN HB,"1,5CC",,"CHERY FULWIN HB 1,5CC "
CHERY,FULWIN 2 HB,,,CHERY FULWIN 2 HB  
CHERY,FULWIN SEDAN,"1,5CC",,"CHERY FULWIN SEDAN 1,5CC "
CHERY,FULWIN 2 SEDAN,,,CHERY FULWIN 2 SEDAN  
CHERY,GRAND TIGGO,"2,0CC",,"CHERY GRAND TIGGO 2,0CC "
CHERY,NEW GRAND TIGGO,"2,0CC",2018 - 2019,"CHERY NEW GRAND TIGGO 2,0CC 2018 - 2019"
CHERY,IQ,"0,8CC",,"CHERY IQ 0,8CC "
CHERY,IQ,"1,0CC","2.015,00","CHERY IQ 1,0CC 2.015,00"
CHERY,IQ,"1,1CC",,"CHERY IQ 1,1CC "
CHERY,K60,"1,5CC",,"CHERY K60 1,5CC "
CHERY,NEW TIGGO,"1,6CC",,"CHERY NEW TIGGO 1,6CC "
CHERY,S21,"1,3CC",,"CHERY S21 1,3CC "
CHERY,SKIN,"1,6CC",,"CHERY SKIN 1,6CC "
CHERY,TIGGO 2 VVT,"1,5CC",,"CHERY TIGGO 2 VVT 1,5CC "
CHERY,TIGGO 2 PRO,"1,0CC",,"CHERY TIGGO 2 PRO 1,0CC "
CHERY,TIGGO 2 PRO,"1,5CC",,"CHERY TIGGO 2 PRO 1,5CC "
CHERY,TIGGO 2 PRO MAX,,"2.024,00","CHERY TIGGO 2 PRO MAX  2.024,00"
CHERY,TIGGO 3,,HASTA 2019,CHERY TIGGO 3  HASTA 2019
CHERY,NEW TIGGO 3,"1,5CC",DESDE 2020,"CHERY NEW TIGGO 3 1,5CC DESDE 2020"
CHERY,TIGGO 3 PRO,"1,5CC",,"CHERY TIGGO 3 PRO 1,5CC "
CHERY,TIGGO 4,,,CHERY TIGGO 4  
CHERY,TIGGO 5,,,CHERY TIGGO 5  
CHERY,TIGGO 7,"1,5CC",,"CHERY TIGGO 7 1,5CC "
CHERY,TIGGO 7 PRO TURBO,"1,5CC",,"CHERY TIGGO 7 PRO TURBO 1,5CC "
CHERY,TIGGO 8 TURBO,"1,5CC",,"CHERY TIGGO 8 TURBO 1,5CC "
CHERY,NEW TIGGO 8,"1,5CC",,"CHERY NEW TIGGO 8 1,5CC "
CHERY,TIGGO 8 PRO TURBO,"1,6CC",,"CHERY TIGGO 8 PRO TURBO 1,6CC "
CHERY,TIGGO,"1,6CC",2008 - 2013,"CHERY TIGGO 1,6CC 2008 - 2013"
CHERY,TIGGO,"2,0CC",2008 - 2013,"CHERY TIGGO 2,0CC 2008 - 2013"
CHEVROLET,CAPTIVA TURBO,"1,5CC",,"CHEVROLET CAPTIVA TURBO 1,5CC "
CHEVROLET,CAPTIVA,,"2.011,00","CHEVROLET CAPTIVA  2.011,00"
CHEVROLET,GROVE,,,CHEVROLET GROVE  
CHEVROLET,N300 MAX,"1,2CC",2011 - 2013,"CHEVROLET N300 MAX 1,2CC 2011 - 2013"
CHEVROLET,N300 WORK,"1,5CC",,"CHEVROLET N300 WORK 1,5CC "
CHEVROLET,N400,"1,5CC",,"CHEVROLET N400 1,5CC "
CHEVROLET,NEW N300 MAX,"1,2CC",DESDE 2014,"CHEVROLET NEW N300 MAX 1,2CC DESDE 2014"
CHEVROLET,SAIL,"1,4CC",2010 - 2015,"CHEVROLET SAIL 1,4CC 2010 - 2015"
CHEVROLET,NEW SAIL,"1,5CC",DESDE 2015,"CHEVROLET NEW SAIL 1,5CC DESDE 2015"
CHEVROLET,SPARK GT,,,CHEVROLET SPARK GT  
DFM,A30,,,DFM A30  
DFM,AX3,"1,6CC",,"DFM AX3 1,6CC "
DFM,AX4,"1,6CC",,"DFM AX4 1,6CC "
DFM,CARGO VAN,"1,0CC",,"DFM CARGO VAN 1,0CC "
DFM,CARGO VAN,"1,1CC",,"DFM CARGO VAN 1,1CC "
DFM,CARGO VAN,"1,3CC",,"DFM CARGO VAN 1,3CC "
DFM,CARGO VAN,"1,3CC","2.014,00","DFM CARGO VAN 1,3CC 2.014,00"
DFM,H30,,2012 - 2014,DFM H30  2012 - 2014
DFM,H30,,2015 - 2018,DFM H30  2015 - 2018
DFM,JOYEAR XL,"1,6CC",,"DFM JOYEAR XL 1,6CC "
DFM,JOYEAR S500,"1,5CC",,"DFM JOYEAR S500 1,5CC "
DFM,JOYEAR X3,,2016 - 2017,DFM JOYEAR X3  2016 - 2017
DFM,JOYEAR X3,,DESDE 2018,DFM JOYEAR X3  DESDE 2018
DFM,S30,"1,6CC",2012 - 2014,"DFM S30 1,6CC 2012 - 2014"
DFM,S30,"1,6CC",2015 - 2018,"DFM S30 1,6CC 2015 - 2018"
DFM,S50,"1,5CC",,"DFM S50 1,5CC "
DFM,SX5,"1,6CC",,"DFM SX5 1,6CC "
DFM,SX6,"1,6CC",,"DFM SX6 1,6CC "
DFSK,"580,00",,HASTA 2021,"DFSK 580,00  HASTA 2021"
DFSK,"580,00","1,5CC",,"DFSK 580,00 1,5CC "
DFSK,"580,00","1,8CC",2022 - 2023,"DFSK 580,00 1,8CC 2022 - 2023"
DFSK,C21,"1,2CC",,"DFSK C21 1,2CC "
DFSK,C22,"1,2CC",,"DFSK C22 1,2CC "
DFSK,CARGO VAN C25,"1,2CC",,"DFSK CARGO VAN C25 1,2CC "
DFSK,C31,"1,5CC",,"DFSK C31 1,5CC "
DFSK,C32,"1,5CC",,"DFSK C32 1,5CC "
DFSK,C37,,,DFSK C37  
DFSK,CARGO TRUCK SERIE V,"1,3CC",,"DFSK CARGO TRUCK SERIE V 1,3CC "
DONGFENG,DF2500 VVT,"1,3CC",,"DONGFENG DF2500 VVT 1,3CC "
DONGFENG,DF2900 VVT,"1,3CC",,"DONGFENG DF2900 VVT 1,3CC "
FAW,MAMUT T80 / V80,,,FAW MAMUT T80 / V80  
FOTON,AUMARK 613,,"2.022,00","FOTON AUMARK 613  2.022,00"
FOTON,AUMARK 613 EURO IV,,,FOTON AUMARK 613 EURO IV  
FOTON,K1,"2,8CC",,"FOTON K1 2,8CC "
FOTON,MIDI,"1,6CC",,"FOTON MIDI 1,6CC "
FOTON,MIDI CARGO,"1,3CC",,"FOTON MIDI CARGO 1,3CC "
FOTON,MIDI CARGO VAN,,,FOTON MIDI CARGO VAN  
FOTON,NEW MIDI TRUCK,"1,3CC",,"FOTON NEW MIDI TRUCK 1,3CC "
FOTON,MIDI TRUCK,"1,5CC",,"FOTON MIDI TRUCK 1,5CC "
FOTON,"MIDI CARGO1,5CC",,,"FOTON MIDI CARGO1,5CC  "
FOTON,OLN,,,FOTON OLN  
FOTON,BJ1027,,,FOTON BJ1027  
FOTON,TERRACOTA,"2,8CC",,"FOTON TERRACOTA 2,8CC "
FOTON,TM3,"1,5CC",,"FOTON TM3 1,5CC "
FOTON,TM3,"1,6CC",,"FOTON TM3 1,6CC "
FOTON,VIEW,"2,2CC",,"FOTON VIEW 2,2CC "
GAC GONOW,WAY,"1,0CC",,"GAC GONOW WAY 1,0CC "
GAC GONOW,WAY,"1,3CC",,"GAC GONOW WAY 1,3CC "
GEELY,CK (OLD),"1,5CC",2008 - 2010,"GEELY CK (OLD) 1,5CC 2008 - 2010"
GEELY,NEW CK,,2010 - 2012,GEELY NEW CK  2010 - 2012
GEELY,NEW CK,,"2.014,00","GEELY NEW CK  2.014,00"
GEELY,COOLRAY TURBO AUT,"1,5CC",,"GEELY COOLRAY TURBO AUT 1,5CC "
GEELY,NEW COOLRAY TURBO,"1,5CC",,"GEELY NEW COOLRAY TURBO 1,5CC "
GEELY,EMGRAND EC7,"1,8CC",,"GEELY EMGRAND EC7 1,8CC "
GEELY,EMGRAND X7 SPORT,"2,0CC",,"GEELY EMGRAND X7 SPORT 2,0CC "
GEELY,GC5,"1,,5CC",2012 - 2018,"GEELY GC5 1,,5CC 2012 - 2018"
GEELY,LC,"1,3CC",,"GEELY LC 1,3CC "
GEELY,LC CROSS,,,GEELY LC CROSS  
