SKU,Nombre Producto,Descripción,Categoría,Marca del Repuesto,Marca Compatible,Modelo Compatible,Años Compatibles,Número de Parte OEM,Número de Parte Alternativo,Precio Venta,Precio Oferta,Stock Actual,Stock Mínimo,Origen (Genuino/Alternativo),Condición (Nuevo/Usado),Garantía,Peso (kg),Dimensiones (cm),Ubicación Bodega,URL Imagen
JTC133RC,Filtro de Aceite JAC T6 Diesel,,filtros,China,JAC,T6,,,,12990,,100,5,Alternativo,Nuevo,3 meses,,,,🛢️
M4258RC,Pastilla Freno Delantera MG ZS,,frenos,China,MG,ZS,,,,24500,,100,5,Alternativo,Nuevo,3 meses,,,,🛑
TX715RC,Kit Embrague Chery Tiggo 2,,embrague,China,Chery,Tiggo 2,,,,89900,,100,5,Alternativo,Nuevo,3 meses,,,,⚙️
GW-M4-001,Amortiguador Delantero Great Wall M4,,direccion-suspension,China,Great Wall,M4,,,,45000,,100,5,Alternativo,Nuevo,3 meses,,,,🔩
BA1828RC,Bomba de Agua Changan CS15,,refrigeracion,China,Changan,CS15,,,,32000,,100,5,Alternativo,Nuevo,3 meses,,,,💧
BL015RC,Óptico Derecho Brilliance H230,,carroceria,China,Brilliance,H230,,,,65000,,100,5,Alternativo,Nuevo,3 meses,,,,💡
F01R00A052,Bobina Encendido Haval H6 1.5,,electricos,China,Haval,H6,,,,28900,,100,5,Alternativo,Nuevo,3 meses,,,,⚡
MAXT537RC,Disco de Freno Maxus T60,,frenos,China,Maxus,T60,,,,38900,,100,5,Alternativo,Nuevo,3 meses,,,,💿
J52-52051,Radiador Motor Chery Arrizo 3,,refrigeracion,China,Chery,Arrizo 3,,,,55000,,100,5,Alternativo,Nuevo,3 meses,,,,🌡️
SMW251370,Sensor Oxígeno DFSK 580,,electricos,China,DFSK,580,,,,42000,,100,5,Alternativo,Nuevo,3 meses,,,,🔌
RAV-5W30,Aceite 5W30 Sintético Ravenol 4L,,aceite-motor,China,Universal,Universal,,,,36900,,100,5,Alternativo,Nuevo,3 meses,,,,🛢️
M3716RC,Filtro Aire MG ZX 1.5,,filtros,China,MG,ZX,,,,9900,,100,5,Alternativo,Nuevo,3 meses,,,,💨
GEN-1100,ACEITE 5W30 4 LTS SMP SINTETICO RAVENOL GERMANY,,lubricantes,China,Universal,Universal,,,,0,,100,5,Alternativo,Nuevo,3 meses,,,,🛢️
GEN-1101,ACEITE ATF BTR 95LE AUTOMATIC 4 LT. SINTETICO,,lubricantes,China,Universal,Universal,,,,0,,100,5,Alternativo,Nuevo,3 meses,,,,🛢️
